
> ai-recruitment-saas-frontend@0.1.0 dev
> next dev --hostname 127.0.0.1 --port 3000

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
✓ Ready in 1238ms

 GET /login?callbackUrl=%2Fdashboard 200 in 173ms (next.js: 14ms, proxy.ts: 7ms, application-code: 152ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 1134ms (next.js: 288ms, proxy.ts: 226ms, application-code: 621ms)
 GET /login?callbackUrl=%2Fdashboard%2Fapplications 200 in 667ms (next.js: 53ms, proxy.ts: 28ms, application-code: 585ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 753ms (next.js: 111ms, proxy.ts: 19ms, application-code: 623ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 587ms (next.js: 90ms, proxy.ts: 13ms, application-code: 483ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 586ms (next.js: 152ms, proxy.ts: 12ms, application-code: 422ms)
 GET /login?callbackUrl=%2Fdashboard%2Fapplications 200 in 606ms (next.js: 22ms, proxy.ts: 19ms, application-code: 564ms)
 GET /login?callbackUrl=%2Fdashboard%2Fapplications 200 in 751ms (next.js: 41ms, proxy.ts: 29ms, application-code: 680ms)
 GET /login?callbackUrl=%2Fdashboard%2Fapplications 200 in 748ms (next.js: 108ms, proxy.ts: 29ms, application-code: 610ms)
 GET /login?callbackUrl=%2Fdashboard%2Fapplications 200 in 712ms (next.js: 173ms, proxy.ts: 16ms, application-code: 523ms)
 GET /login?callbackUrl=%2Fdashboard%2Fapplications 200 in 435ms (next.js: 48ms, proxy.ts: 12ms, application-code: 375ms)
 GET /login?callbackUrl=%2Fdashboard%2Fapplications 200 in 828ms (next.js: 183ms, proxy.ts: 59ms, application-code: 586ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 827ms (next.js: 269ms, proxy.ts: 60ms, application-code: 498ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 429ms (next.js: 26ms, proxy.ts: 11ms, application-code: 392ms)
 GET /login?callbackUrl=%2Fdashboard%2Fapplications 200 in 421ms (next.js: 96ms, proxy.ts: 8ms, application-code: 317ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 239ms (next.js: 35ms, proxy.ts: 13ms, application-code: 191ms)
 GET /login?callbackUrl=%2Fdashboard%2Fapplications 200 in 226ms (next.js: 102ms, proxy.ts: 14ms, application-code: 110ms)
 GET /login?callbackUrl=%2Fdashboard%2Fapplications 200 in 370ms (next.js: 13ms, proxy.ts: 10ms, application-code: 347ms)
 GET /login?callbackUrl=%2Fdashboard%2Fjobs 200 in 106ms (next.js: 8ms, proxy.ts: 6ms, application-code: 93ms)
 GET /register 200 in 675ms (next.js: 221ms, proxy.ts: 9ms, application-code: 445ms)
 GET / 200 in 669ms (next.js: 194ms, proxy.ts: 13ms, application-code: 461ms)
 GET /jobs 200 in 262ms (next.js: 179ms, proxy.ts: 11ms, application-code: 72ms)
 GET /jobs 200 in 64ms (next.js: 10ms, proxy.ts: 7ms, application-code: 48ms)
 GET /jobs/senior-frontend-developer-testcorp_55ba2b 200 in 322ms (next.js: 240ms, proxy.ts: 6ms, application-code: 75ms)
 GET /login 200 in 91ms (next.js: 11ms, proxy.ts: 9ms, application-code: 71ms)
 GET /register 200 in 82ms (next.js: 14ms, proxy.ts: 7ms, application-code: 61ms)
 GET /login 200 in 54ms (next.js: 9ms, proxy.ts: 5ms, application-code: 41ms)
 GET /dashboard 200 in 116ms (next.js: 31ms, proxy.ts: 7ms, application-code: 78ms)
 GET /dashboard/applications 200 in 67ms (next.js: 20ms, proxy.ts: 6ms, application-code: 42ms)
 GET /dashboard/jobs 200 in 70ms (next.js: 22ms, proxy.ts: 6ms, application-code: 42ms)
 GET /dashboard/applications 200 in 76ms (next.js: 8ms, proxy.ts: 6ms, application-code: 62ms)
 GET /dashboard/pipeline 200 in 117ms (next.js: 65ms, proxy.ts: 6ms, application-code: 46ms)
 GET /dashboard 200 in 123ms (next.js: 17ms, proxy.ts: 6ms, application-code: 101ms)
 GET /dashboard/applications 200 in 57ms (next.js: 9ms, proxy.ts: 6ms, application-code: 43ms)
